iter	Passed	Remaining
575	13437	559
576	13462	536
577	13482	513
578	13503	489
579	13523	466
580	13548	443
581	13570	419
582	13590	396
583	13612	372
584	13636	349
585	13656	326
586	13683	303
587	13712	279
588	13735	256
589	13762	233
590	13787	209
591	13816	186
592	13846	163
593	13874	140
594	13901	116
595	13932	93
596	13953	70
597	13982	46
598	14011	23
599	14040	0
